GEO_SPATIAL_KEY,NODE_TYPE,NODE_DESC,NODE_TRANSPORT,LONGITUDE,LATITUDE
180,proposed,Bukit Brown,NA,103.8306764,1.3337697
181,station,Soo Teck,LRT,103.896944,1.405417
182,station,Nibong,LRT,103.900028,1.411878
183,station,Sumang,LRT,103.898527,1.408057
184,station,Samudera,LRT,103.901856,1.41595
185,station,Punggol Point,LRT,103.906353,1.416883
186,station,Teck Lee,LRT,103.906233,1.4128
187,station,Sam Kee,LRT,103.904583,1.40975
1012,station,Hotel Grand Pacific,BUS,103.8525061,1.2968547
1013,station,Saint Joseph's Church,BUS,103.8532023,1.2977082
1019,station,Bras Basah Complex,BUS,103.8530176,1.2970065
1029,station,Cosmic Insurance Building,BUS,103.854473,1.2968064
1039,station,North Bridge Commercial Complex,BUS,103.8555546,1.2982756
1059,station,Bugis Station,BUS,103.856513,1.3012241
1109,station,Queen Street Terminal,BUS,103.856261,1.3035726
1112,station,Opposite Bugis Junction,BUS,103.8551974,1.3001325
1113,station,Bugis Station,BUS,103.8560759,1.3011705
1119,station,Bugis Junction,BUS,103.8551453,1.2995718
1121,station,Stamford Primary School,BUS,103.8586787,1.3039894
1129,station,Opposite Stamford Primary School,BUS,103.8586632,1.3035491
1139,station,Parkview Square,BUS,103.8572124,1.3003881
1211,station,Opposite Blk 461,BUS,103.861091,1.305985
1219,station,Blk 461,BUS,103.8613012,1.3058152
1229,station,Before Sultan Mosque,BUS,103.8596829,1.3034362
1231,station,Opposite Textile Centre,BUS,103.8610475,1.3032942
1239,station,Sultan Plaza,BUS,103.861553,1.3030293
1311,station,Lavender Station,BUS,103.8626701,1.3075102
1319,station,Lavender Station,BUS,103.8631958,1.3074626
1329,station,Blk 8,BUS,103.8638242,1.305144
1339,station,Before Crawford Bridge,BUS,103.8642659,1.3077498
1341,station,Southbank,BUS,103.864536,1.306524
1349,station,Opposite Blk 4,BUS,103.8654685,1.3056583
1411,station,Keypoint Building,BUS,103.8628974,1.3021455
1419,station,Saint John Headquarters,BUS,103.8632538,1.3019609
1421,station,Opposite Golden Mile Complex,BUS,103.864871,1.3034
1429,station,Golden Mile Complex,BUS,103.865069,1.3031768
1511,station,Opposite The Gateway,BUS,103.8585105,1.299105
1519,station,The Gateway,BUS,103.8590512,1.2992256
1521,station,Opposite Plaza Parkroyal,BUS,103.8606432,1.3009121
1529,station,Plaza Parkroyal,BUS,103.8604334,1.3004331
1541,station,After Beach Road,BUS,103.857362,1.298783
1549,station,Near Bali Lane,BUS,103.8586901,1.3007782
1559,station,Landmark Village Hotel,BUS,103.857527,1.301721
1611,station,Raffles Hotel,BUS,103.8553569,1.2952721
1619,station,Opposite Raffles Hotel,BUS,103.8555659,1.2951234
1621,station,Opposite Shaw Towers,BUS,103.8565328,1.2970359
1629,station,Shaw Towers,BUS,103.8568902,1.2969958
1631,station,After Beach Road,BUS,103.8558272,1.2969303
1639,station,Before Beach Road,BUS,103.8555396,1.2974673
2011,station,Victoria Concert Hall,BUS,103.8521451,1.2882181
2027,station,Esplanade Pk,BUS,103.8534195,1.289764
2028,station,Opp Singapore Cricket Club,BUS,103.8530389,1.28895
2029,station,Opposite Singapore Cricket Club,BUS,103.8530418,1.2889726
2031,station,Opposite The Adelphi,BUS,103.8512795,1.2916486
2049,station,Raffles Hotel,BUS,103.854012,1.2945685
2051,station,Seating Gallery,BUS,103.8589462,1.2895761
2061,station,The Esplanade,BUS,103.85634,1.2900941
2089,station,Pan Pacific Hotel,BUS,103.8593688,1.291593
2099,station,Marina Centre Terminal,BUS,103.861485,1.291226
2101,station,Before Temasek Avenue,BUS,103.8619399,1.2893673
2111,station,Esplanade Bridge,BUS,103.8545405,1.290962
2119,station,One Raffles Link,BUS,103.8553564,1.2918884
2141,station,Suntec Tower Two,BUS,103.8593252,1.2958071
2149,station,Suntec Tower Three,BUS,103.8595886,1.2956611
2151,station,Suntec Convention Centre,BUS,103.8578355,1.2931797
2159,station,Opposite Suntec Convention Centre,BUS,103.8584096,1.293541
2161,station,Opposite Millenia Tower,BUS,103.8608853,1.2933927
2169,station,Centennial Tower,BUS,103.8606408,1.2935312
2171,station,Opposite The Ritz-Carlton,BUS,103.8609795,1.2904433
2181,station,Supreme Court,BUS,103.85098,1.289495
3011,station,Fullerton Square,BUS,103.8533093,1.2856899
3019,station,OUE Bayfront,BUS,103.852986,1.283931
3021,station,Prudential Tower,BUS,103.8499522,1.2825051
